location_slug,location_name,threat_types,interval_count,total_duration_hours,geocode_status,query,latitude,longitude,osm_type,osm_id,place_class,place_type,importance,display_name,boundingbox,source
Арбузинська_територіальна_громада,Арбузинська територіальна громада,air_raid,216,194.508,ok,"Арбузинська, Україна",47.9235846,31.3565691,relation,11839577,,administrative,0.27236747457604304,"Арбузинська селищна громада, Первомайський район, Миколаївська область, Україна",47.7487515;48.0974866;31.2381411;31.4781279,OpenStreetMap Nominatim
КамянецьПодільський_район,Кам’янець-Подільський район,air_raid,145,187.438,ok,"Кам’янець-Подільський район, Україна",48.8135044,26.8341342,relation,11921664,,administrative,0.5168074664345499,"Кам’янець-Подільський район, Хмельницька область, Україна",48.4510834;49.1758473;26.1761257;27.4275478,OpenStreetMap Nominatim
Дубенський_район,Дубенський район,air_raid,112,133.480,ok,"Дубенський район, Україна",50.3644400,25.5663768,relation,11831110,,administrative,0.5071676442356138,"Дубенський район, Рівненська область, Україна",50.0040426;50.7248322;25.0841286;26.1301091,OpenStreetMap Nominatim
КаміньКаширський_район,КаміньКаширський район,air_raid,101,117.251,ok,"Камінь-Каширський район, Волинська область, Україна",51.5487281,25.1730185,relation,11921855,,administrative,0.4786403716328095,"Камінь-Каширський район, Волинська область, Україна",51.1287254;51.9692650;24.6389987;25.9491972,OpenStreetMap Nominatim
Дністровський_район,Дністровський район,air_raid,100,112.601,ok,"Дністровський район, Україна",48.4199457,26.5284293,relation,11905201,,administrative,0.4493085284326974,"Дністровський район, Чернівецька область, Україна",48.2098488;48.6299648;26.0556596;27.5342699,OpenStreetMap Nominatim
м_Миколаїв_та_Миколаївська_територіальна_громада,м. Миколаїв та Миколаївська територіальна громада,air_raid;artillery_shelling,69,107.220,ok,"Миколаїв, Україна",46.9758615,31.9939666,relation,11622860,,city,0.6297573339228288,"Миколаїв, Миколаївська міська громада, Миколаївський район, Миколаївська область, 54000, Україна",46.8182560;47.0475069;31.8804797;32.1351928,OpenStreetMap Nominatim
Чортківський_район,Чортківський район,air_raid,95,105.262,ok,"Чортківський район, Україна",48.9460274,25.6751286,relation,11919403,,administrative,0.5623732627108113,"Чортківський район, Тернопільська область, Україна",48.5074845;49.3845259;24.8564002;26.4436300,OpenStreetMap Nominatim
Кременецький_район,Кременецький район,air_raid,94,104.823,ok,"Кременецький район, Україна",49.9838572,25.7809942,relation,11918336,,administrative,0.5154713835095879,"Кременецький район, Тернопільська область, Україна",49.7005018;50.2668879;25.3466915;26.2742098,OpenStreetMap Nominatim
Тернопільський_район,Тернопільський район,air_raid,93,103.606,ok,"Тернопільський район, Україна",49.5343870,25.4427785,relation,11919556,,administrative,0.5682455004208452,"Тернопільський район, Тернопільська область, Україна",49.1311217;49.9380068;24.7161724;26.2724552,OpenStreetMap Nominatim
Луцький_район,Луцький район,air_raid,97,99.740,ok,"Луцький район, Україна",50.7597626,25.4104050,relation,11921831,,administrative,0.5179485722651209,"Луцький район, Волинська область, Україна",50.2872511;51.2321712;24.5402638;26.1072604,OpenStreetMap Nominatim
Ковельський_район,Ковельський район,air_raid,96,99.320,ok,"Ковельський район, Україна",51.3893977,24.2896333,relation,11921908,,administrative,0.5230627387107389,"Ковельський район, Волинська область, Україна",50.8618929;51.9168728;23.6053661;25.4416526,OpenStreetMap Nominatim
Чернівецький_район,Чернівецький район,air_raid,89,93.242,ok,"Чернівецький район, Україна",48.3009284,26.0578235,relation,11905202,,administrative,0.48341850186395274,"Чернівецький район, Чернівецька область, Україна",47.9261766;48.6757227;25.3260699;26.5239359,OpenStreetMap Nominatim
Золочівський_район,Золочівський район,air_raid,87,92.123,ok,"Золочівський район, Україна",49.9493387,24.9235532,relation,11923087,,administrative,0.5241445216664472,"Золочівський район, Львівська область, Україна",49.5988681;50.3005620;24.3496534;25.4270223,OpenStreetMap Nominatim
Вижницький_район,Вижницький район,air_raid,88,90.812,ok,"Вижницький район, Україна",48.0642168,25.1629793,relation,11905203,,administrative,0.4622255058623587,"Вижницький район, Чернівецька область, Україна",47.7250583;48.4033785;24.9084553;25.6663129,OpenStreetMap Nominatim
Львівський_район,Львівський район,air_raid,84,82.804,ok,"Львівський район, Україна",49.8191560,24.0479139,way,1025576768,,stadium,0.4560849611158452,"Стадіон ""Україна"", вулиця Липова Алея, Дністерська, Галицький район, Львів, Львівська міська громада, Львівська область, 79035, Україна",49.8179075;49.8205609;24.0461670;24.0496556,OpenStreetMap Nominatim
Оріхівська_територіальна_громада,Оріхівська територіальна громада,air_raid;artillery_shelling,60,80.656,ok,"Оріхівська, Україна",47.5173014,35.7046635,relation,12314936,,administrative,0.32221217881594816,"Оріхівська міська громада, Пологівський район, Запорізька область, Україна",47.4219849;47.6216118;35.5554103;35.8713806,OpenStreetMap Nominatim
Червоноградський_район,Червоноградський район,air_raid,84,80.314,ok,"Червоноградський район, Україна",50.3736564,24.2117266,relation,11923012,,administrative,0.48892975400351835,"Шептицький район, Львівська область, Україна",50.0984186;50.6489605;23.6737102;25.0601835,OpenStreetMap Nominatim
Калуський_район,Івано-Франківська область,air_raid,80,79.702,ok,"Івано-Франківська область, Україна",48.7481718,24.5207477,relation,72488,,administrative,0.6493238205992492,"Івано-Франківська область, Україна",47.7243679;49.5477701;23.5470764;25.6530995,OpenStreetMap Nominatim
Стрийський_район,Стрийський район,air_raid,83,76.994,ok,"Стрийський район, Україна",49.1884886,23.9776439,relation,11926090,,administrative,0.5341178270159678,"Стрийський район, Львівська область, Україна",48.7182803;49.6586665;23.0823486;24.4469699,OpenStreetMap Nominatim
Яворівський_район,Яворівський район,air_raid,77,75.300,ok,"Яворівський район, Україна",49.9116882,23.4968231,relation,11925828,,administrative,0.5195885951300004,"Яворівський район, Львівська область, Україна",49.6235744;50.1992949;22.8496209;23.9392288,OpenStreetMap Nominatim
Самбірський_район,Самбірський район,air_raid,78,73.678,ok,"Самбірський район, Україна",49.2956066,22.9313607,relation,11925970,,administrative,0.5339672307227727,"Самбірський район, Львівська область, Україна",48.8304758;49.7613082;22.6408214;23.6493909,OpenStreetMap Nominatim
Дрогобицький_район,Дрогобицький район,air_raid,78,73.464,ok,"Дрогобицький район, Україна",49.2874524,23.4157025,relation,11926073,,administrative,0.4957248214514477,"Дрогобицький район, Львівська область, Україна",49.0287751;49.5465146;23.1050021;23.8080990,OpenStreetMap Nominatim
ВолодимирВолинський_район,ВолодимирВолинський район,air_raid,80,72.338,ok,"Володимир-Волинський район, Волинська область, Україна",50.8780726,24.3467403,relation,1740806,,historic,0.3895399885548953,"Володимир-Волинський район, Волинська область, Україна",50.7023200;51.0533890;23.9145875;24.6323584,OpenStreetMap Nominatim
Хустський_район,Хустський район,air_raid,79,65.499,ok,"Хустський район, Україна",48.3691737,23.3201295,relation,11852433,,administrative,0.4970627747091265,"Хустський район, Закарпатська область, Україна",47.9678237;48.7707118;22.8509793;23.8647837,OpenStreetMap Nominatim
Тячівський_район,Тячівський район,air_raid,78,65.026,ok,"Тячівський район, Україна",48.2474081,23.8111468,relation,11841037,,administrative,0.4802435941101253,"Тячівський район, Закарпатська область, Україна",47.9316846;48.5629706;23.4387535;24.1817034,OpenStreetMap Nominatim
Ужгородський_район,Ужгородський район,air_raid,78,64.920,ok,"Ужгородський район, Україна",48.7257783,22.6098018,relation,11841375,,administrative,0.4971289601964626,"Ужгородський район, Закарпатська область, Україна",48.3542728;49.0973238;22.1370590;22.9190777,OpenStreetMap Nominatim
